,name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
241,John Carroll University,Ohio,OH,Private,4 Year,11874.0,41340,53214,41340,53214,11,Ohio,51600,97300,39.0,16
243,Johns Hopkins University,Maryland,MD,Private,4 Year,15836.0,54240,70076,54240,70076,3,Maryland,67200,117100,57.0,31
244,Judson College,Alabama,AL,Private,4 Year,10590.0,18510,29100,18510,29100,23,Alabama,37900,67600,65.0,13
245,Kalamazoo College,Michigan,MI,Private,4 Year,9756.0,48516,58272,48516,58272,8,Michigan,51600,94500,52.0,31
246,Kansas City Art Institute,Missouri,MO,Private,4 Year,10400.0,38400,48800,38400,48800,22,Missouri,42500,77700,37.0,0
247,Kansas State University,Kansas,KS,Public,4 Year,9680.0,10263,19943,25767,35447,2,Kansas,52500,97200,51.0,18
248,Kansas Wesleyan University,Kansas,KS,Private,4 Year,9500.0,29500,39000,29500,39000,15,Kansas,44700,79400,61.0,10
249,Kean University,New Jersey,NJ,Public,4 Year,14470.0,12348,26818,19383,33853,22,New-Jersey,48200,90000,51.0,10
250,Keene State College,New Hampshire,NH,Public,4 Year,11026.0,14212,25238,23176,34202,10,New-Hampshire,48900,83600,49.0,8
251,Kennesaw State University,Georgia,GA,Public,4 Year,11467.0,7432,18899,21158,32625,5,Georgia,52500,94600,46.0,22
252,Kentucky Christian University,Kentucky,KY,Private,4 Year,8270.0,19820,28090,19820,28090,22,Kentucky,39600,70300,68.0,3
253,Kentucky State University,Kentucky,KY,Public,4 Year,6690.0,8090,14780,19390,26080,18,Kentucky,40700,73100,57.0,13
254,Kentucky Wesleyan College,Kentucky,KY,Private,4 Year,9764.0,26440,36204,26440,36204,14,Kentucky,42100,76800,65.0,14
255,Kenyon College,Ohio,OH,Private,4 Year,12510.0,55930,68440,55930,68440,7,Ohio,55000,103800,50.0,17
257,Kettering University,Michigan,MI,Private,4 Year,8240.0,43490,51730,43490,51730,1,Michigan,69900,125000,44.0,74
258,Knox College,Illinois,IL,Private,4 Year,9870.0,46554,56424,46554,56424,15,Illinois,50600,95400,45.0,24
259,La Salle University,Pennsylvania,PA,Private,4 Year,15080.0,30560,45640,30560,45640,15,Pennsylvania,55800,104800,40.0,5
260,Lafayette College,Pennsylvania,PA,Private,4 Year,15640.0,52880,68520,52880,68520,6,Pennsylvania,66500,122500,37.0,47
261,Lake Forest College,Illinois,IL,Private,4 Year,10390.0,47064,57454,47064,57454,9,Illinois,55400,102600,46.0,21
262,Lake Superior State University,Michigan,MI,Public,4 Year,9882.0,12090,21972,12090,21972,24,Michigan,45900,83500,48.0,14
264,Lamar University,Texas,TX,Public,4 Year,8920.0,10192,19112,22642,31562,13,Texas,53300,101200,57.0,16
265,Lander University,South Carolina,SC,Public,4 Year,9100.0,11700,20800,21300,30400,15,South-Carolina,42600,77100,54.0,9
266,Langston University,Oklahoma,OK,Public,4 Year,9476.0,5950,15426,13300,22776,11,Oklahoma,46500,81500,66.0,8
267,Lawrence Technological University,Michigan,MI,Private,4 Year,9950.0,33570,43520,33570,43520,4,Michigan,57900,108400,49.0,60
268,Lawrence University,Wisconsin,WI,Private,4 Year,10341.0,47475,57816,47475,57816,5,Wisconsin,51500,98800,58.0,25
269,Lehigh University,Pennsylvania,PA,Private,4 Year,13600.0,52930,66530,52930,66530,2,Pennsylvania,69500,134100,45.0,52
270,Lenoir-Rhyne University,North Carolina,NC,Private,4 Year,12510.0,36400,48910,36400,48910,10,North-Carolina,46400,86300,54.0,7
271,LeTourneau University,Texas,TX,Private,4 Year,9970.0,30210,40180,30210,40180,18,Texas,56600,98900,53.0,21
272,Lewis & Clark College,Oregon,OR,Private,4 Year,12490.0,50934,63424,50934,63424,10,Oregon,50000,93200,51.0,12
273,Lewis University,Illinois,IL,Private,4 Year,10578.0,32450,43028,32450,43028,25,Illinois,49700,89800,53.0,14
274,Lewis-Clark State College,Idaho,ID,Public,4 Year,7580.0,6618,14198,19236,26816,7,Idaho,44900,77600,60.0,5
275,Limestone College,South Carolina,SC,Private,4 Year,9765.0,26000,35765,26000,35765,16,South-Carolina,42100,76500,57.0,10
276,Lindenwood University,Missouri,MO,Private,4 Year,9000.0,17600,26600,17600,26600,21,Missouri,45100,78500,48.0,9
277,Lindsey Wilson College,Kentucky,KY,Private,4 Year,9385.0,24850,34235,24850,34235,25,Kentucky,35300,64100,52.0,2
278,Lipscomb University,Tennessee,TN,Private,4 Year,12652.0,32144,44796,32144,44796,9,Tennessee,49000,84800,59.0,12
279,Longwood University,Virginia,VA,Public,4 Year,11746.0,13340,25086,29300,41046,21,Virginia,47300,83300,54.0,9
280,Loras College,Iowa,IA,Private,4 Year,8275.0,34184,42459,34184,42459,7,Iowa,48000,90100,56.0,14
281,Louisiana College,Louisiana,LA,Private,4 Year,5618.0,17000,22618,17000,22618,17,Louisiana,44800,79800,58.0,4
282,Louisiana Tech University,Louisiana,LA,Public,4 Year,6495.0,9645,16140,18558,25053,3,Louisiana,53100,100700,57.0,24
283,Loyola Marymount University,California,CA,Private,4 Year,14490.0,48522,63012,48522,63012,18,California,58500,113300,39.0,9
284,Loyola University Chicago,Illinois,IL,Private,4 Year,14480.0,44048,58528,44048,58528,12,Illinois,53400,96000,45.0,15
285,Loyola University Maryland,Maryland,MD,Private,4 Year,14430.0,49085,63515,49085,63515,5,Maryland,59900,111200,40.0,8
286,Loyola University New Orleans,Louisiana,LA,Private,4 Year,13380.0,39692,53072,39692,53072,9,Louisiana,47900,88600,47.0,4
287,Luther College,Iowa,IA,Private,4 Year,9460.0,42290,51750,42290,51750,14,Iowa,48200,85900,49.0,21
288,Lyndon State College,Vermont,VT,Public,4 Year,10598.0,12074,22672,25394,35992,13,Vermont,41500,75100,49.0,8
289,Lynn University,Florida,FL,Private,4 Year,12170.0,38210,50380,38210,50380,22,Florida,46100,85000,45.0,2
290,Lyon College,Arkansas,AR,Private,4 Year,9130.0,28790,37920,28790,37920,15,Arkansas,41200,74300,53.0,33
291,Macalester College,Minnesota,MN,Private,4 Year,12156.0,54344,66500,54344,66500,6,Minnesota,53600,100400,51.0,31
