,name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
461,Saint Xavier University,Illinois,IL,Private,4 Year,11340.0,33880,45220,33880,45220,20,Illinois,49400,91200,60.0,10
462,Salisbury University,Maryland,MD,Public,4 Year,11950.0,9824,21774,19526,31476,19,Maryland,50400,89800,51.0,12
463,Salve Regina University,Rhode Island,RI,Private,4 Year,14500.0,40550,55050,40550,55050,6,Rhode-Island,53000,93900,50.0,6
464,Samford University,Alabama,AL,Private,4 Year,10550.0,31650,42200,31650,42200,5,Alabama,48400,90500,52.0,3
465,San Jose State University,California,CA,Public,4 Year,16442.0,7796,24238,17300,33742,17,California,63000,114700,53.0,28
466,Santa Clara University,California,CA,Private,4 Year,14910.0,51711,66621,51711,66621,6,California,69900,134700,44.0,29
467,Savannah College of Art and Design,Georgia,GA,Private,4 Year,14550.0,36630,51180,36630,51180,21,Georgia,46800,80100,34.0,3
468,Seattle Pacific University,Washington,WA,Private,4 Year,11796.0,42939,54735,42939,54735,6,Washington,53600,103400,52.0,9
469,Seattle University,Washington,WA,Private,4 Year,12288.0,44610,56898,44610,56898,1,Washington,60600,113700,59.0,12
470,Seton Hall University,New Jersey,NJ,Private,4 Year,15800.0,42470,58270,42470,58270,5,New-Jersey,57100,103800,45.0,8
471,Shenandoah University,Virginia,VA,Private,4 Year,10370.0,32530,42900,32530,42900,18,Virginia,48700,86600,57.0,7
472,Shepherd University,West Virginia,WV,Public,4 Year,10500.0,7548,18048,18048,28548,4,West-Virginia,47100,87100,48.0,12
473,Shorter University,Georgia,GA,Private,4 Year,9400.0,22370,31770,22370,31770,22,Georgia,45600,79900,55.0,6
474,Sierra Nevada College,Nevada,NV,Private,4 Year,13357.0,34241,47598,34241,47598,1,Nevada,54000,95500,39.0,2
475,Simpson College,Iowa,IA,Private,4 Year,8380.0,39144,47524,39144,47524,11,Iowa,49900,88600,47.0,17
476,Smith College,Massachusetts,MA,Private,4 Year,17520.0,52404,69924,52404,69924,24,Massachusetts,52700,98200,51.0,26
477,South Carolina State University,South Carolina,SC,Public,4 Year,9890.0,11060,20950,21750,31640,10,South-Carolina,44500,80800,71.0,16
478,South Dakota School of Mines and Technology,South Dakota,SD,Public,4 Year,8440.0,9779,18219,14021,22461,1,South-Dakota,66500,118500,58.0,92
479,South Dakota State University,South Dakota,SD,Public,4 Year,7896.0,8764,16660,12128,20024,2,South-Dakota,50500,91900,58.0,18
